file_name,chars_total,lines_total,header_end_line,header_marker,backmatter_start_line,backmatter_marker,chars_header,chars_body,chars_backmatter,boilerplate_lines,reference_link_lines,short_lines,has_publisher_footer,doi,journal,admin_sections,content_sections,pct_header,pct_body,pct_backmatter
Redox Signaling and Its Impact on Skeletal and Vas.txt,84894,2306,46.0,^Abstract$,791.0,^acknowledge?ments?$,1292,36857,46746,228,1200,1321,True,10.3390/ijms18102153,Int J Mol Sci,Acknowledgments|References,Abstract,1.52,43.42,55.06
Influence of social isolation during prolonged sim.txt,86977,2007,145.0,^Abstract$,778.0,^acknowledge?ments?$,4139,52967,29872,168,768,795,True,10.3389/fphys.2019.01147,Front Physiol,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.76,60.9,34.34
Validation of a new Rodent experimental System to .txt,90865,1335,119.0,^Abstract$,676.0,^acknowledge?ments?$,3334,69105,18427,124,484,678,True,10.1038/s41598-020-58898-4,Sci Rep,Acknowledgments|References|Competing interests|Author contributions|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,3.67,76.05,20.28
Skeletal tissue regulation by catalase overexpress.txt,65561,1482,94.0,^Abstract$,971.0,^acknowledge?ments?$,2617,45668,17277,93,415,617,True,10.1113/jphysiol.2014.286740,J Physiol,Acknowledgments|References|Funding|Competing interests|Author contributions,Abstract|Introduction|Methods|Results|Discussion|Conclusion,3.99,69.66,26.35
Overexpression of catalase in mitochondria mitigat.txt,61653,1449,161.0,^Abstract$,639.0,^acknowledge?ments?$,4486,36408,20760,147,626,793,True,10.1038/s41526-021-00152-w,NPJ Microgravity,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,7.28,59.05,33.67
An extensive allelic series of Drosophila kae1 mut.txt,82661,2126,144.0,^Abstract$,1449.0,^acknowledge?ments?$,3836,64640,14186,113,437,582,True,10.1261/rna.053934.115,RNA,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.64,78.2,17.16
Novel Organelles with Elements of Bacterial and Eu.txt,93046,3527,180.0,^PMC Copyright notice$,2160.0,^acknowledge?ments?$,3229,55764,34054,169,749,1378,False,10.1016/j.cub.2017.08.019,Curr Biol,Acknowledgments|References|Author contributions|Supplementary|Footnotes,Results|Discussion,3.47,59.93,36.6
A combined computational strategy of sequence and .txt,125387,2751,108.0,^Abstract$,1340.0,^references$,3572,73587,48229,195,947,1315,True,10.1371/journal.pone.0211897,PLoS One,References|Funding|Competing interests|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion,2.85,58.69,38.46
Immune suppressive extracellular vesicle proteins .txt,78444,2537,100.0,^Abstract$,1461.0,^acknowledge?ments?$,2996,49498,25951,164,736,829,True,10.1534/g3.119.400349,G3 (Bethesda),Acknowledgments|References|Data availability|Footnotes,Abstract|Methods,3.82,63.1,33.08
Spaceflight and simulated microgravity conditions .txt,64591,1589,90.0,^Abstract$,870.0,^acknowledge?ments?$,2855,42942,18795,122,523,755,True,10.1038/s41526-019-0091-2,NPJ Microgravity,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.42,66.48,29.1
A parasitoid wasp of Drosophila employs preemptive.txt,81738,2729,103.0,^Abstract$,1507.0,^acknowledge?ments?$,3942,44242,33555,171,773,1263,True,10.1371/journal.ppat.1009615,PLoS Pathog,Acknowledgments|References|Funding|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion,4.82,54.13,41.05
In Silico Analysis of a Drosophila Parasitoid Veno.txt,81960,2142,114.0,^Abstract$,956.0,^acknowledge?ments?$,3072,44262,34627,187,875,1044,True,10.3390/pathogens12010143,Pathogens,Acknowledgments|References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract,3.75,54.0,42.25
Drosophila parasitoids go to space Unexpected effe.txt,128778,3545,158.0,^PMC Copyright notice$,2618.0,^acknowledge?ments?$,4019,98037,26723,164,659,1378,True,10.1016/j.isci.2023.108759,iScience,Acknowledgments|References|Author contributions|Data availability|Supplementary|Footnotes,Introduction|Results|Discussion,3.12,76.13,20.75
Simultaneous exposure of cultured human lymphoblas.txt,52998,1360,90.0,^Abstract$,801.0,^acknowledge?ments?$,2701,32062,18236,97,430,710,True,10.3390/life10090187,Life (Basel),Acknowledgments|References|Funding|Author contributions,Abstract,5.1,60.5,34.41
Genes required for survival in microgravity reveal.txt,53590,881,131.0,^Abstract$,518.0,^acknowledge?ments?$,3594,39097,10900,75,250,396,True,10.1155/2015/976458,Biomed Res Int,Acknowledgments|References|Competing interests|Supplementary,Abstract,6.71,72.96,20.34
Physical Forces Modulate Oxidative Status and Stre.txt,61502,1678,102.0,^Abstract$,1208.0,^acknowledge?ments?$,3282,43387,14834,95,356,601,True,10.1007/s12217-017-9588-z,Microgravity Sci Technol,Acknowledgments|References,Abstract|Introduction|Results|Discussion,5.34,70.55,24.12
Effects of space flight on mouse liver versus kidn.txt,33959,825,69.0,^Abstract$,652.0,^acknowledge?ments?$,2313,25176,6471,42,121,308,True,10.3390/ijms19124106,Int J Mol Sci,Acknowledgments|References|Funding|Author contributions|Supplementary,Abstract,6.81,74.14,19.06
Yeast in Space.txt,33744,1332,66.0,^Abstract$,754.0,^acknowledge?ments?$,1796,19061,12888,84,447,570,True,10.1097/MD.0000000000042125,Medicine (Baltimore),Acknowledgments|References|Author contributions|Contributor Information,Abstract,5.32,56.49,38.19
Endocrine Effects of Space Flight.txt,81705,1352,88.0,^Abstract$,702.0,^acknowledge?ments?$,4646,62445,14615,101,385,561,True,10.1038/s41598-025-90212-y,Sci Rep,Acknowledgments|References|Funding|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,5.69,76.43,17.89
Role of shear stress on renal proximal tubular cel.txt,49882,891,120.0,^Abstract$,473.0,^references$,4653,33381,11849,82,323,458,True,10.3390/mi13050688,Micromachines (Basel),References|Funding|Author contributions|Supplementary|Footnotes,Abstract,9.33,66.92,23.75
Bone hemodynamic responses to changes in external .txt,34687,922,114.0,^Abstract$,715.0,^references$,3750,25604,5334,41,134,351,True,10.1177/19160216241288811,J Otolaryngol Head Neck Surg,References|Supplementary|Footnotes,Abstract|Introduction|Results|Discussion|Conclusion,10.81,73.81,15.38
Back pain in space and postflight spine injury Mec.txt,47078,1223,127.0,^Abstract$,583.0,^acknowledge?ments?$,3214,28183,15682,92,415,503,False,10.1016/j.spinee.2017.08.261,Spine J,Acknowledgments|References|Footnotes,Abstract|Introduction|Methods|Results|Discussion,6.83,59.86,33.31
Fifteen days of microgravity causes growth in calv.txt,31168,458,75.0,^Abstract$,225.0,^acknowledge?ments?$,2674,20728,7767,46,168,222,False,10.1016/j.bone.2013.06.009,Bone,Acknowledgments|References|Contributor Information,Abstract|Introduction|Methods|Results|Discussion|Conclusion,8.58,66.5,24.92
Altered disc compression in children with idiopath.txt,28561,631,93.0,^Abstract$,441.0,^acknowledge?ments?$,2572,20046,5944,43,142,223,False,10.1097/BRS.0000000000000114,Spine (Phila Pa 1976),Acknowledgments|References,Abstract|Introduction|Methods|Results|Discussion|Conclusion,9.01,70.19,20.81
Spaceflightinduced bone loss alters failure mode a.txt,49031,902,74.0,^Abstract$,467.0,^acknowledge?ments?$,1507,34865,12660,76,328,475,False,10.1002/jor.23029,J Orthop Res,Acknowledgments|References|Footnotes,Abstract|Methods|Results|Discussion,3.07,71.11,25.82
Spaceflightassociated vascular remodeling and gene.txt,48792,875,88.0,^Abstract$,442.0,^acknowledge?ments?$,2838,32225,13730,78,326,320,True,10.3389/fphys.2022.893025,Front Physiol,Acknowledgments|References|Funding|Competing interests|Author contributions|Data availability,Abstract|Introduction|Methods|Results|Discussion|Conclusion,5.82,66.05,28.14
Exposure of Mycobacterium marinum to lowshear mode.txt,81026,2433,117.0,^Abstract$,1614.0,^acknowledge?ments?$,4032,59933,17062,134,542,894,True,10.1038/npjmgrav.2016.38,NPJ Microgravity,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.98,73.97,21.06
Effects of mechanostimulation on gravitropism and .txt,35448,713,39.0,^Abstract$,272.0,^acknowledge?ments?$,942,22691,11816,77,332,382,True,10.4161/psb.6.9.16601,Plant Signal Behav,Acknowledgments|References,Abstract|Introduction|Methods|Results|Discussion|Conclusion,2.66,64.01,33.33
Oxygen dependency of germinating Brassica seeds.txt,73772,1958,107.0,^Abstract$,1111.0,^acknowledge?ments?$,2736,40813,30224,167,604,993,True,10.1016/j.heliyon.2023.e14403,Heliyon,Acknowledgments|References|Funding|Data availability,Abstract,3.71,55.32,40.97
Desiccation mitigates heat stress in the resurrect.txt,79582,2289,42.0,^Abstract$,1102.0,^references$,1721,51484,26378,151,679,881,True,10.3389/fpls.2020.597731,Front Plant Sci,References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,2.16,64.69,33.15
Transcription profile of auxin related genes durin.txt,54322,1274,52.0,^Abstract$,554.0,^references$,1412,33965,18946,127,567,660,True,10.3390/plants11091191,Plants (Basel),References|Funding|Author contributions|Data availability|Footnotes,Abstract,2.6,62.53,34.88
Highgradient magnetic fields and starch metabolism.txt,58518,1789,66.0,^Abstract$,1022.0,^acknowledge?ments?$,2340,36652,19527,127,570,988,True,10.1038/s41598-022-22691-2,Sci Rep,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction,4.0,62.63,33.37
Lipid rafts and plant gravisensitivity.txt,66866,1917,56.0,^Abstract$,627.0,^references$,1450,29383,36034,197,1011,1173,True,10.3390/life12111809,Life (Basel),References|Funding|Author contributions|Data availability|Footnotes,Abstract,2.17,43.94,53.89
Expression and characterization of the bacterial m.txt,44542,1249,41.0,^Abstract$,657.0,^acknowledge?ments?$,1170,28956,14417,105,459,680,True,10.1073/pnas.1213931109,Proc Natl Acad Sci U S A,Acknowledgments|References|Supplementary|Footnotes,Abstract|Methods|Results|Discussion,2.63,65.01,32.37
United in Diversity Mechanosensitive Ion Channels .txt,167417,2813,121.0,^Abstract$,1740.0,^acknowledge?ments?$,3152,84984,79282,163,647,826,True,10.7554/eLife.33285,eLife,Acknowledgments|References|Funding|Competing interests|Author contributions|Supplementary|Contributor Information,Abstract|Introduction|Methods|Results|Discussion,1.88,50.76,47.36
Expressing and Characterizing Mechanosensitive Cha.txt,48242,952,35.0,^Abstract$,436.0,^acknowledge?ments?$,1097,21021,26125,65,292,470,False,10.1007/978-1-4939-2697-8_13,Methods Mol Biol,Acknowledgments|References|Footnotes,Abstract,2.27,43.57,54.15
The ongoing search for the molecular basis of plan.txt,33066,618,44.0,^PMC Copyright notice$,224.0,^acknowledge?ments?$,1330,23171,8566,55,238,209,True,10.1085/jgp.201411295,J Gen Physiol,Acknowledgments|References|Footnotes,Introduction,4.02,70.08,25.91
Plastid osmotic stress influences cell differentia.txt,72189,2185,56.0,^Abstract$,1192.0,^acknowledge?ments?$,1510,45586,25094,146,679,708,True,10.1242/dev.136234,Development,Acknowledgments|References|Funding|Competing interests|Author contributions|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,2.09,63.15,34.76
Spaceflightinduced synaptic modifications within h.txt,97745,1603,71.0,^Abstract$,1061.0,^acknowledge?ments?$,2755,80494,14497,98,381,581,True,10.1152/jn.00240.2016,J Neurophysiol,Acknowledgments|References|Author contributions,Abstract|Methods|Results|Discussion,2.82,82.35,14.83
Effects of angular frequency during clinorotation .txt,50774,1049,56.0,^Abstract$,559.0,^acknowledge?ments?$,1906,36392,12477,82,342,461,True,10.1038/npjmgrav.2015.7,NPJ Microgravity,Acknowledgments|References|Funding|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,3.75,71.67,24.57
The role of FGF2 and BMP2 in regulation of gene in.txt,36410,751,54.0,^Abstract$,464.0,^acknowledge?ments?$,1974,25145,9292,55,246,291,True,10.1186/1749-799X-6-8,J Orthop Surg Res,Acknowledgments|References|Competing interests|Contributor Information,Abstract|Introduction|Methods|Results|Discussion|Conclusion,5.42,69.06,25.52
Nutritional supplements COX2 and IGF1 expression i.txt,49493,1296,145.0,^Abstract$,902.0,^acknowledge?ments?$,3681,31220,14593,72,301,706,True,10.1007/s10552-010-9684-5,Cancer Causes Control,Acknowledgments|References,Abstract|Introduction|Methods|Results|Discussion|Conclusion,7.44,63.08,29.48
Hyperoxia inhibits T cell activation in mice.txt,82975,1501,101.0,^Abstract$,752.0,^acknowledge?ments?$,2684,60999,19293,142,580,729,True,10.1016/j.redox.2024.103370,Redox Biol,Acknowledgments|References|Funding|Data availability|Supplementary|Footnotes|Contributor Information,Abstract,3.23,73.51,23.25
Effects of gravitational mechanical unloading in e.txt,49564,1040,86.0,^Abstract$,416.0,^acknowledge?ments?$,2516,34175,12874,91,423,440,True,10.1038/srep01494,Sci Rep,Acknowledgments|References|Author contributions,Abstract|Methods|Results|Discussion,5.08,68.95,25.97
n3 Polyunsaturated fatty acids supplementation in .txt,53809,1693,139.0,^Abstract$,1080.0,^acknowledge?ments?$,4489,35731,13590,92,367,532,False,10.1016/j.jss.2019.01.038,J Surg Res,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,8.34,66.4,25.26
Molecular mechanisms underlying the enhanced funct.txt,59902,1401,53.0,^Abstract$,772.0,^acknowledge?ments?$,1688,40074,18141,110,492,567,False,10.1016/j.biomaterials.2013.11.063,Biomaterials,Acknowledgments|References|Supplementary|Footnotes,Abstract,2.82,66.9,30.28
Spaceflight alters expression of microRNA during T.txt,43195,983,78.0,^Abstract$,584.0,^acknowledge?ments?$,2518,30846,9832,60,233,398,True,10.1096/fj.15-277392,FASEB J,Acknowledgments|References,Abstract|Methods|Results|Discussion,5.83,71.41,22.76
Spaceflight impairs antigenspecific tolerance indu.txt,67508,1243,81.0,^Abstract$,813.0,^acknowledge?ments?$,2308,55467,9734,63,259,535,True,10.1096/fj.15-275073,FASEB J,Acknowledgments|References|Supplementary|Footnotes,Abstract|Methods|Results|Discussion,3.42,82.16,14.42
From cellular mechanotransduction to biologically .txt,79778,946,45.0,^Abstract$,371.0,^acknowledge?ments?$,1658,62935,15186,88,447,540,False,10.1007/s10439-010-9946-0,Ann Biomed Eng,Acknowledgments|References,Abstract|Introduction|Conclusion,2.08,78.89,19.04
Crewmember microbiome may influence microbial comp.txt,75855,1625,157.0,^Abstract$,909.0,^acknowledge?ments?$,5433,47363,23060,119,428,681,True,10.1371/journal.pone.0231838,PLoS One,Acknowledgments|References|Funding|Competing interests|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion,7.16,62.44,30.4
Sierra Nevada sweep Metagenomic measurements of bi.txt,59810,1539,127.0,^Abstract$,1077.0,^acknowledge?ments?$,3591,42228,13992,99,333,719,True,10.1038/s41598-020-69188-4,Sci Rep,Acknowledgments|References|Competing interests|Author contributions|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,6.0,70.6,23.39
Draft Genome Sequences of Fungi Isolated from the .txt,33738,2083,135.0,^Abstract$,1687.0,^acknowledge?ments?$,3383,18518,11838,73,264,668,True,10.1128/MRA.00751-21,Microbiol Resour Announc,Acknowledgments|References|Data availability|Contributor Information,Abstract,10.03,54.89,35.09
Microbial tracking2 a metagenomics analysis of bac.txt,80325,1517,112.0,^Abstract$,862.0,^acknowledge?ments?$,3832,53222,23272,123,454,632,True,10.1186/s40168-022-01293-0,Microbiome,Acknowledgments|References|Funding|Competing interests|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,4.77,66.26,28.97
Detection of Target Genes for Drug Repurposing to .txt,64243,1809,77.0,^Abstract$,1239.0,^acknowledge?ments?$,2454,44124,17666,117,415,868,True,10.3390/genes13030473,Genes (Basel),Acknowledgments|References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Methods,3.82,68.68,27.5
Release of CD36associated cellfree mitochondrial D.txt,81034,1555,123.0,^Abstract$,655.0,^acknowledge?ments?$,3912,54432,22691,151,654,824,True,10.1038/s41467-023-41995-z,Nat Commun,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.83,67.17,28.0
Increasing the number of unloadingreambulation cyc.txt,46301,871,55.0,^Abstract$,400.0,^acknowledge?ments?$,1682,30070,14550,78,357,437,False,10.1016/j.actaastro.2012.04.003,Acta Astronaut,Acknowledgments|References|Footnotes,Abstract|Introduction|Methods|Results|Discussion,3.63,64.94,31.42
Bone shaft bending strength index is unaffected by.txt,30064,729,65.0,^Abstract$,425.0,^acknowledge?ments?$,1517,18600,9948,59,235,356,True,10.1111/joa.12277,J Anat,Acknowledgments|References|Competing interests|Author contributions|Supplementary,Abstract|Introduction|Methods|Results|Discussion,5.05,61.87,33.09
Focal enhancement of the skeleton to exercise corr.txt,47729,1003,99.0,^Abstract$,544.0,^acknowledge?ments?$,2288,32993,12449,78,306,393,True,10.1242/jeb.118729,J Exp Biol,Acknowledgments|References|Funding|Competing interests|Author contributions|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.79,69.13,26.08
Cytoskeletal configuration modulates mechanically .txt,60127,2020,61.0,^Abstract$,1336.0,^acknowledge?ments?$,1796,41650,16682,114,477,1210,True,10.1038/srep34791,Sci Rep,Acknowledgments|References|Author contributions|Supplementary|Footnotes,Abstract|Methods|Results|Discussion,2.99,69.27,27.74
Genetic and tissue level musclebone interactions d.txt,39638,851,60.0,^Abstract$,410.0,^acknowledge?ments?$,1694,26193,11752,77,340,419,True,,J Musculoskelet Neuronal Interact,Acknowledgments|References|Author contributions|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.27,66.08,29.65
Osteocyte apoptosis caused by hindlimb unloading i.txt,53704,1239,83.0,^Abstract$,607.0,^acknowledge?ments?$,2299,34056,17350,109,495,758,False,10.1002/jbmr.2807,J Bone Miner Res,Acknowledgments|References|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.28,63.41,32.31
Differential Single Cell Responses of Embryonic St.txt,45211,962,59.0,^Abstract$,449.0,^acknowledge?ments?$,2127,30867,12218,90,361,446,True,10.1089/scd.2022.0037,Stem Cells Dev,Acknowledgments|References|Supplementary,Abstract|Introduction|Methods|Results|Discussion|Conclusion,4.7,68.27,27.02
Macrophages inhibit Aspergillus fumigatus germinat.txt,104169,2552,131.0,^Abstract$,1591.0,^acknowledge?ments?$,3942,71172,29056,154,662,1114,True,10.1371/journal.ppat.1007229,PLoS Pathog,Acknowledgments|References|Funding|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion,3.78,68.32,27.89
Contributions of spore secondary metabolites to UV.txt,60972,1961,152.0,^Abstract$,929.0,^acknowledge?ments?$,5160,33131,22682,128,532,725,True,10.1128/mBio.03415-19,mBio,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,8.46,54.34,37.2
Regulation of hemocytes in Drosophila requires dap.txt,68975,2254,75.0,^Abstract$,1523.0,^acknowledge?ments?$,1919,46052,21005,132,632,774,True,10.1007/s10528-010-9411-7,Biochem Genet,Acknowledgments|References|Footnotes,Abstract|Introduction|Methods|Results|Discussion,2.78,66.77,30.45
A novel phototropic response to red light is revea.txt,58123,1695,74.0,^Abstract$,1191.0,^acknowledge?ments?$,1692,42204,14228,107,410,704,False,10.1007/s00425-016-2581-8,Planta,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,2.91,72.61,24.48
Plant cell proliferation and growth are altered by.txt,111242,1649,60.0,^PMC Copyright notice$,1147.0,^acknowledge?ments?$,1872,92737,16634,107,424,589,True,10.1016/j.isci.2022.104687,iScience,Acknowledgments|References|Author contributions|Supplementary|Footnotes|Contributor Information,Introduction,1.68,83.37,14.95
Phototropism of Arabidopsis thaliana in microgravi.txt,58123,1695,74.0,^Abstract$,1191.0,^acknowledge?ments?$,1692,42204,14228,107,410,704,False,10.1007/s00425-016-2581-8,Planta,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,2.91,72.61,24.48
Light and gravity signals synergize in modulating .txt,133693,3491,62.0,^Abstract$,,,1982,131712,0,303,1581,1515,True,10.3389/fpls.2014.00563,Front Plant Sci,Acknowledgments|References|Competing interests|Author contributions,Abstract|Introduction,1.48,98.52,0.0
A novel bluelight phototropic response is revealed.txt,58123,1695,74.0,^Abstract$,1191.0,^acknowledge?ments?$,1692,42204,14228,107,410,704,False,10.1007/s00425-016-2581-8,Planta,Acknowledgments|References|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion|Conclusion,2.91,72.61,24.48
Comparative transcriptomics indicate changes in ce.txt,81353,1568,74.0,^Abstract$,964.0,^acknowledge?ments?$,2068,58512,20774,121,501,512,False,10.3732/ajb.1700079,Am J Bot,Acknowledgments|References|Supplementary,Abstract|Methods|Results|Discussion|Conclusion,2.54,71.92,25.54
RNAseq analysis of the response of Arabidopsis tha.txt,58109,1336,100.0,^Abstract$,784.0,^acknowledge?ments?$,3084,39957,15069,97,391,530,True,10.3389/fpls.2019.01529,Front Plant Sci,Acknowledgments|References|Funding|Competing interests|Author contributions|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion|Conclusion,5.31,68.76,25.93
Comparison of Microgravity Analogs to Spaceflight .txt,54724,1297,83.0,^Abstract$,607.0,^references$,3228,32756,18741,114,495,539,True,10.3389/fpls.2019.01577,Front Plant Sci,References|Funding|Competing interests|Author contributions,Abstract|Introduction,5.9,59.86,34.25
The importance of Earth reference controls in spac.txt,57872,1197,83.0,^PMC Copyright notice$,667.0,^acknowledge?ments?$,2135,38423,17315,100,421,419,True,10.1016/j.isci.2020.101686,iScience,Acknowledgments|References|Author contributions|Data availability|Supplementary|Footnotes,Introduction|Methods|Results|Discussion,3.69,66.39,29.92
Conducting plant experiments in space and on the M.txt,49414,1027,73.0,^Abstract$,566.0,^acknowledge?ments?$,2876,31754,14785,86,319,471,True,10.1038/s41598-023-49680-3,Sci Rep,Acknowledgments|References|Funding|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,5.82,64.26,29.92
Red light enhances plant adaptation to spaceflight.txt,79036,1320,71.0,^Abstract$,568.0,^acknowledge?ments?$,1606,53588,23843,132,566,704,True,10.3390/life12101484,Life (Basel),Acknowledgments|References|Funding|Author contributions|Data availability|Footnotes,Abstract,2.03,67.8,30.17
EUK134 ameliorates nNOSµ translocation and skeleta.txt,61192,1312,106.0,^Abstract$,739.0,^acknowledge?ments?$,3154,45877,12162,93,368,644,True,10.1152/ajpregu.00371.2013,Am J Physiol Regul Integr Comp Physiol,Acknowledgments|References|Author contributions,Abstract|Methods|Results|Discussion,5.15,74.97,19.88
MnSOD Overexpression Reduces Fibrosis and ProApopt.txt,50717,1093,86.0,^Abstract$,,,2533,48185,0,74,310,513,True,10.1093/gerona/glu090,J Gerontol A Biol Sci Med Sci,,Abstract,4.99,95.01,0.0
Lifelong wheel running exercise and mild caloric r.txt,44131,608,66.0,^Abstract$,328.0,^acknowledge?ments?$,2032,32097,10003,57,241,220,False,10.1016/j.exger.2015.06.007,Exp Gerontol,Acknowledgments|References|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.6,72.73,22.67
Agerelated alterations in the sarcolemmal environm.txt,72729,1153,53.0,^Abstract$,546.0,^acknowledge?ments?$,1938,48256,22536,112,512,447,False,10.1016/j.exger.2016.08.006,Exp Gerontol,Acknowledgments|References|Footnotes,Abstract,2.66,66.35,30.99
The impact of SRT2104 on skeletal muscle mitochond.txt,58078,1415,133.0,^Abstract$,884.0,^references$,5027,37707,15345,107,420,741,True,10.3390/ijms241311135,Int J Mol Sci,References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Methods,8.66,64.92,26.42
Bioreactor development for skeletal muscle hypertr.txt,63423,1227,61.0,^Abstract$,463.0,^acknowledge?ments?$,2561,40497,20366,132,591,699,True,10.1038/s41526-023-00320-0,NPJ Microgravity,Acknowledgments|References|Competing interests|Author contributions|Data availability|Supplementary|Footnotes,Abstract|Introduction|Methods|Results|Discussion,4.04,63.85,32.11
Genomic and phenotypic characterization of Burkhol.txt,81413,1749,148.0,^Abstract$,1019.0,^acknowledge?ments?$,2956,56791,21667,152,558,669,True,10.1016/j.bioflm.2023.100108,Biofilm,Acknowledgments|References|Funding|Data availability|Supplementary|Footnotes,Abstract,3.63,69.76,26.61
CAMDLES CFDDEM Simulation of Microbial Communities.txt,71270,1907,67.0,^Abstract$,1263.0,^acknowledge?ments?$,1597,49602,20072,115,466,1187,True,10.3390/life12050660,Life (Basel),Acknowledgments|References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract,2.24,69.6,28.16
Hardware validation of the Advanced Plant Habitat .txt,70876,1613,85.0,^Abstract$,1310.0,^acknowledge?ments?$,2643,59322,8912,63,165,589,True,10.3389/fpls.2020.00673,Front Plant Sci,Acknowledgments|References|Competing interests|Author contributions|Data availability|Footnotes,Abstract|Introduction|Conclusion,3.73,83.7,12.57
Trimeric structure of pinoresinolforming dirigent .txt,55785,1650,101.0,^Abstract$,1230.0,^acknowledge?ments?$,2820,41757,11209,79,282,784,True,10.1074/jbc.M114.611780,J Biol Chem,Acknowledgments|References,Abstract|Introduction|Results|Discussion,5.06,74.85,20.09
New insights into lignification via network and mu.txt,97210,2026,157.0,^Abstract$,1196.0,^references$,4495,75586,17130,136,524,797,True,10.3389/fpls.2021.664250,Front Plant Sci,References|Competing interests|Author contributions|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion,4.62,77.76,17.62
Functional consequences of radiationinduced oxidat.txt,64252,1320,129.0,^Abstract$,770.0,^acknowledge?ments?$,2968,48313,12972,98,395,614,True,10.1089/ars.2012.5134,Antioxid Redox Signal,Acknowledgments|References|Supplementary,Abstract|Introduction|Methods|Results|Discussion,4.62,75.19,20.19
Exploration of space to achieve scientific breakth.txt,43564,717,35.0,^Abstract$,,,1311,42254,0,91,406,389,True,10.3389/ti.2025.14565,Transpl Int,Acknowledgments|References|Funding|Competing interests|Author contributions|Data availability|Footnotes,Abstract,3.01,96.99,0.0
Network Analysis of Gene Transcriptions of Arabido.txt,60225,1451,74.0,^Abstract$,968.0,^acknowledge?ments?$,2272,43960,13994,101,351,654,True,10.3390/genes12030337,Genes (Basel),Acknowledgments|References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract,3.77,72.99,23.24
Detection of Genes in Arabidopsis thaliana L Respo.txt,71648,1507,61.0,^Abstract$,916.0,^acknowledge?ments?$,1867,52750,17032,116,413,602,True,10.3390/genes12060938,Genes (Basel),Acknowledgments|References|Funding|Author contributions|Data availability|Supplementary|Footnotes,Abstract,2.61,73.62,23.77
The Effect of spaceflight on mouse olfactory bulb .txt,81910,2398,96.0,^Abstract$,1138.0,^acknowledge?ments?$,2719,52391,26801,160,812,1290,True,10.1152/japplphysiol.01174.2013,J Appl Physiol (1985),Acknowledgments|References|Author contributions,Abstract|Methods|Results|Discussion,3.32,63.96,32.72
Effects of lowdose rate Œirradiation combined with.txt,75538,1539,172.0,^Abstract$,675.0,^acknowledge?ments?$,5774,42635,27130,110,481,701,True,10.1371/journal.pone.0180594,PLoS One,Acknowledgments|References|Funding|Competing interests|Data availability|Supplementary,Abstract|Introduction|Methods|Results|Discussion|Conclusion,7.64,56.44,35.92
